20,1019,12/12/2003,1/1/2003,Available
20,1040,6/1/2003,3/2/2003,Available
20,1061,26/2/2003,8/3/2003,Available
13,1012,18/2/2004,20/2/2004,Available
13,1033,30/2/2004,18/3/2004,Available
6,1005,13/12/2003,28/3/2004,Available
10,1030,28/2/2004,1/4/2004,Available
10,1051,6/4/2004,12/4/2004,Available
13,1054,1/4/2004,21/4/2004,Available
10,1078,19/4/2004,26/4/2004,Available
6,1026,1/4/2004,1/5/2004,Available
6,1047,14/5/2004,26/5/2004,Available
14,1013,17/5/2006,27/5/2006,Available
14,1034,1/6/2006,15/7/2006,Available
14,1055,21/7/2006,15/8/2006,Available
7,1006,24/1/2008,3/2/2008,Available
7,1027,5/3/2008,16/3/2008,Available
7,1048,26/4/2008,6/5/2008,Available
11,1010,2/1/2009,6/1/2009,Available
11,1031,13/1/2009,28/2/2009,Available
11,1052,3/3/2009,3/4/2009,Available
9,1008,4/3/2011,6/3/2011,Available
2,1001,3/3/2011,3/4/2011,Available
16,1015,3/4/2011,10/4/2011,Available
2,1022,5/4/2011,15/4/2011,Available
16,1036,19/4/2011,30/4/2011,Available
2,1043,25/4/2011,12/5/2011,Available
16,1057,16/5/2011,26/5/2011,Available
9,1029,25/6/2011,1/8/2011,Available
4,1003,14/12/2012,14/1/2013,Available
4,1024,17/1/2013,27/1/2013,Available
4,1045,4/2/2013,16/2/2013,Available
3,1002,16/2/2014,21/2/2014,Available
10,1009,17/2/2014,22/2/2014,Available
17,1016,20/2/2014,26/2/2014,Available
3,1023,28/2/2014,1/3/2014,Available
17,1037,30/2/2014,16/3/2014,Available
3,1044,14/3/2014,30/3/2014,Available
17,1058,29/3/2014,5/4/2014,Available
18,1017,8/5/2016,18/5/2016,Available
18,1038,1/6/2016,8/6/2016,Available
21,1020,15/6/2016,5/7/2016,Available
21,1041,13/7/2016,23/7/2016,Available
21,1062,29/7/2016,16/8/2016,Available
18,1059,12/8/2016,26/8/2016,Available
8,1007,5/1/2017,15/1/2017,Available
8,1028,25/1/2017,5/2/2017,Available
8,1049,6/2/2017,18/2/2017,Available
9,1050,8/8/2017,14/8/2017,Available
5,1004,10/7/2017,16/9/2017,Available
5,1025,26/9/2017,1/10/2017,Available
19,1018,17/10/2017,27/10/2017,Available
19,1039,28/10/2017,6/11/2017,Available
5,1046,21/10/2017,21/11/2017,Available
19,1060,19/11/2017,6/12/2017,Available
1,1000,4/12/2017,11/12/2017,Available
1,1021,11/1/2018,14/1/2018,Available
1,1042,18/1/2018,29/2/2018,Available
12,1011,23/5/2018,24/5/2018,Available
12,1032,14/6/2018,1/7/2018,Available
12,1053,9/7/2018,19/7/2018,Available
15,1014,19/12/2020,1/1/2020,Available
15,1035,14/1/2020,28/1/2020,Available
15,1056,28/2/2020,10/3/2020,Available
22,1063,22/11/2022,Not Returned,Reserved
23,1064,29/11/2022,Not Returned,Reserved
24,1065,30/11/2022,Not Returned,Reserved
25,1066,1/12/2022,Not Returned,Reserved
26,1067,5/13/2022,Not Returned,Unavailable
27,1068,5/11/2022,Not Returned,Unavailable
28,1069,6/11/2022,Not Returned,Unavailable
29,1070,7/11/2022,Not Returned,Unavailable
30,1071,22/11/2022,Not Returned,Unavailable
31,1072,23/11/2022,Not Returned,Reserved
